"ee_id_show","title","inv_num","ee_id_thing"
4506,"Arcangel Surfware Flagship: Grand Opening","2016-079",4368
4506,"Arcangel Surfware Flagship: Grand Opening","2016-061",4378
4506,"Arcangel Surfware Flagship: Grand Opening","2013-141",4409
4506,"Arcangel Surfware Flagship: Grand Opening","2013-144",4410
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2010-079",147
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2011-156",2217
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2014-051",4239
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2015-001",4251
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2015-003",4253
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2015-014",4260
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2015-027",4263
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2015-053",4265
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2017-001",4379
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2017-005",4381
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2017-016",4382
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2017-023",4383
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2017-041",4390
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2017-020",4416
4420,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2011-156",2217
4420,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2014-013",4147
4420,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2012-068",4167
4420,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2015-027",4263
4420,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2015-021",4271
4420,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2016-078",4367
4420,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2016-079",4368
4420,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2016-084",4369
4420,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2016-097",4371
4420,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2017-004",4380
4365,"currentmood","2016-076",4364
4422,"Net Art Anthology","2003-002",11
4423,"Arcangel Surfware X NYABF 2017: currentmood","2016-076",4364
4423,"Arcangel Surfware X NYABF 2017: currentmood","2017-049",4391
4423,"Arcangel Surfware X NYABF 2017: currentmood","2017-052",4392
4423,"Arcangel Surfware X NYABF 2017: currentmood","2017-044",4412
4360,"Images","2002-001",7
4360,"Images","2003-002",11
4419,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2011-156",2217
4419,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2013-193",4119
4419,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2014-097",4175
4419,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2015-021",4271
4419,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2015-159",4297
4419,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2015-164",4305
4419,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2016-035",4347
4419,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2016-077",4366
4419,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2017-020",4416
4359,"currentmood","2016-018",4341
4359,"currentmood","2016-019",4342
4359,"currentmood","2016-021",4343
4359,"currentmood","2016-025",4344
4359,"currentmood","2016-030",4345
4359,"currentmood","2016-033",4346
4359,"currentmood","2016-035",4347
4359,"currentmood","2016-052",4349
4359,"currentmood","2016-054",4350
4359,"currentmood","2016-110",4351
4359,"currentmood","2016-055",4352
4359,"currentmood","2016-056",4353
4359,"currentmood","2016-036",4355
4359,"currentmood","2016-057",4356
4377,"Arcangel Surfware x NYABF 2016: Fuck Negativity","2016-077",4366
4377,"Arcangel Surfware x NYABF 2016: Fuck Negativity","2016-078",4367
4377,"Arcangel Surfware x NYABF 2016: Fuck Negativity","2016-079",4368
4377,"Arcangel Surfware x NYABF 2016: Fuck Negativity","2016-084",4369
4377,"Arcangel Surfware x NYABF 2016: Fuck Negativity","2016-061",4378
4269,"This Is All So Crazy, Everybody Seems So Famous","2002-001",7
4269,"This Is All So Crazy, Everybody Seems So Famous","2003-001",220
4269,"This Is All So Crazy, Everybody Seems So Famous","2013-189",4117
4269,"This Is All So Crazy, Everybody Seems So Famous","2013-190",4118
4269,"This Is All So Crazy, Everybody Seems So Famous","2014-097",4175
4269,"This Is All So Crazy, Everybody Seems So Famous","2015-001",4259
4269,"This Is All So Crazy, Everybody Seems So Famous","2015-014",4260
4269,"This Is All So Crazy, Everybody Seems So Famous","2015-015",4261
4269,"This Is All So Crazy, Everybody Seems So Famous","2015-022",4262
4269,"This Is All So Crazy, Everybody Seems So Famous","2015-027",4263
4269,"This Is All So Crazy, Everybody Seems So Famous","2015-030",4264
4269,"This Is All So Crazy, Everybody Seems So Famous","2015-047",4266
4269,"This Is All So Crazy, Everybody Seems So Famous","2014-152",4267
4269,"This Is All So Crazy, Everybody Seems So Famous","2014-135",4268
4269,"This Is All So Crazy, Everybody Seems So Famous","2015-056",4270
4269,"This Is All So Crazy, Everybody Seems So Famous","2015-021",4271
4244,"Toys Redux ??On Play and Critique","2005-021",185
4282,"Be the first of your friends","2013-31",4110
4282,"Be the first of your friends","2013-197",4240
4282,"Be the first of your friends","2013-199",4241
4282,"Be the first of your friends","2015-053",4265
4282,"Be the first of your friends","2014-110",4275
4282,"Be the first of your friends","2015-065",4276
4282,"Be the first of your friends","2014-088",4277
4282,"Be the first of your friends","2015-064",4278
4282,"Be the first of your friends","2015-055",4279
4282,"Be the first of your friends","2015-060",4280
4282,"Be the first of your friends","2015-068",4281
4258,"Hot Topics","2015-001",4251
4258,"Hot Topics","2015-002",4252
4258,"Hot Topics","2015-003",4253
4258,"Hot Topics","2015-004",4254
4258,"Hot Topics","2015-005",4255
4258,"Hot Topics","2015-006",4256
4258,"Hot Topics","2015-007",4257
4273,"AUDMCRS ~ PSK ~ SUBG","2011-078",89
4273,"AUDMCRS ~ PSK ~ SUBG","2011-156",2217
4273,"AUDMCRS ~ PSK ~ SUBG","2013-063",2242
4273,"AUDMCRS ~ PSK ~ SUBG","2014-146",4272
4274,"Arcangel Surfware x NYABF 2015: The Source","2002-002",9
